"","longitude","latitude","elevation","min_dist","min_dist_idx"
"66",-47.4691429138184,-23.0968685150146,587,1313.39919069791,275
"67",-47.4690170288086,-19.973295211792,567,1265.44781033029,420
"68",-47.4669647216797,-22.2113990783691,722,966.442910096993,316
"69",-47.4667549133301,-19.8165588378906,979,644.047837482185,427
"70",-47.4657936096191,-21.690523147583,785,566.773706335596,340
"71",-47.4652252197266,-20.4929637908936,941,1169.54776921159,395
"72",-47.4649772644043,-22.5752811431885,618,640.94787484781,299
"73",-47.464656829834,-19.6598377227783,953,476.095902836639,434
"74",-47.4639015197754,-23.6680641174316,773,282.653535794595,248
"75",-47.4637680053711,-22.9393653869629,578,381.941584223,282
"76",-47.4634170532227,-23.3036193847656,575,224.911265836952,265
"77",-47.4628753662109,-21.012996673584,826,770.76656717267,371
"78",-47.4626388549805,-22.0541343688965,667,140.345814007996,323
"79",-47.4625968933105,-20.3361301422119,960,632.40025537661,403
"80",-47.461986541748,-21.5333728790283,731,377.341616074909,347
"81",-47.4608955383301,-19.3465976715088,978,760.389245848524,449
"82",-47.4602355957031,-22.417911529541,693,242.138057638475,306
"83",-47.4600448608398,-20.1792812347412,877,149.274008054054,410
"84",-47.4592056274414,-19.1899871826172,912,250.629828391297,456
"85",-47.4588203430176,-23.8749332427979,933,1089.7183854843,238
"86",-47.4586601257324,-22.7819042205811,586,532.333312138989,289
"87",-47.4584465026855,-21.8969211578369,596,728.619906383825,330
"88",-47.4583053588867,-21.3762474060059,615,1124.37412371446,354
"89",-47.4578971862793,-23.5103874206543,594,948.931904120916,255
"90",-47.4578170776367,-23.1460342407227,547,771.077005984657,272
"91",-47.457691192627,-20.0225429534912,641,813.894737762127,417
"92",-47.4576187133789,-19.0334396362305,909,659.435573365276,463
"93",-47.4567260742188,-20.6990833282471,766,549.127799687232,386
"94",-47.4557495117188,-22.2606239318848,720,1101.84559770218,313
"95",-47.4553985595703,-19.8657875061035,899,1184.47668992683,425
"96",-47.4544639587402,-21.7397212982178,664,1243.50581581272,338
"97",-47.4539070129395,-20.5421543121338,946,880.239429730759,393
"98",-47.4536666870117,-22.6244945526123,573,1432.35027773082,296
"99",-47.4533271789551,-19.7090873718262,1014,904.059047820912,432
"100",-47.4525985717773,-23.7172527313232,828,1071.87993165518,246
"101",-47.4524803161621,-22.9885692596436,547,1339.31352859916,280
"102",-47.452091217041,-23.3528022766113,594,1224.33151591256,263
"103",-47.4514007568359,-19.5524406433105,934,1075.60549266768,439
"104",-47.4513053894043,-22.1033401489258,672,1275.14820387902,321
"105",-47.4506568908691,-21.5825347900391,692,1150.16146281607,345
"106",-47.449520111084,-19.3958187103271,1052,1381.05497187273,678
"107",-47.4489288330078,-22.4671249389648,679,1050.62345428053,536
"108",-47.4478302001953,-19.2392082214355,967,1144.39909843389,686
"109",-47.4475555419922,-23.9241123199463,919,882.627581489449,468
