,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100268,-23.1010913848877,-46.8595771789551,0.00361641238851,7.86176606197841e-05,3.57549397449475e-05,8759.42576940215,190.10553115086086
100269,-23.0919208526611,-46.8221626281738,0.0006301538414845,1.36989965540124e-05,2.14000174310058e-05,11388.3267210582,80.67385850904432
100270,-23.0827960968018,-46.7848587036133,0.0026350936168455,5.72846438444685e-05,2.91615306196036e-05,13589.8624760093,33.88287589343783
100272,-23.0646743774414,-46.710563659668,0.0006053582837921,1.31599626911338e-05,1.86833731277147e-05,16612.1164497506,109.42875808045851
100273,-23.0556774139404,-46.6735649108887,0.0031682821572758,6.88756990712136e-05,2.58694399235537e-05,19200.4477560895,116.00341976214989
100274,-23.0467224121094,-46.6366653442383,0.0009293448856624,2.02031496883137e-05,1.92057668755297e-05,22189.432055208,68.96836201805161
100275,-23.0378093719482,-46.5998649597168,0.0014484740167972,3.14885655825492e-05,2.04618900170317e-05,25433.0367033989,55.904390310329845
100276,-23.0289363861084,-46.5631561279297,1.54654027824108e-05,3.36204408313279e-07,1.79994531208649e-05,28841.6560204959,140.5286067679487
100277,-23.0201034545898,-46.526538848877,0.0006148957672849,1.33672992888023e-05,1.87343921425054e-05,32359.4321350649,117.31999747845785
100278,-23.0113086700439,-46.4900093078613,0.0015126931029954,3.2884632673813e-05,2.11299266084097e-05,35951.4086171118,65.33269908432504
100279,-23.0025539398193,-46.4535713195801,0.0005884398342459,1.27921703096945e-05,1.98153084056685e-05,39594.0244672587,78.09407623589429
100280,-22.9938373565674,-46.4172172546387,0.0010142683131562,2.20493111555697e-05,2.14142000913853e-05,43272.4853520446,50.42481153491144
100281,-22.9851570129395,-46.3809432983398,0.0008273248677141,1.79853232111782e-05,2.04071038751863e-05,40303.2359234173,30.70812715991716
100282,-22.9765148162842,-46.3447532653809,0.0017077476077247,3.71249479940161e-05,2.29855359066278e-05,36860.4139556896,27.748042597353272
100283,-22.9679069519043,-46.3086433410645,0.0018370330581092,3.99355012632441e-05,2.3582877474837e-05,33520.6534369157,60.485130374086665
100287,-22.9338340759277,-46.1649513244629,0.0006018698095431,1.30841262944159e-05,2.1597510567517e-05,22028.8373425749,7.695740947338159
100288,-22.9254016876221,-46.129207611084,0.0008454518138023,1.8379387256573e-05,2.4357570509892e-05,20003.4803799783,4.595201768597264
100289,-22.9170017242432,-46.0935325622559,0.0002424400490781,5.2704358495248e-06,2.66468632617034e-05,18558.2881210339,3.9498570475524977
100290,-22.908634185791,-46.057918548584,0.0001477338282711,3.21160496241646e-06,2.57013798545813e-05,17829.9819641163,7.429341681994539
100292,-22.8919944763184,-45.9868850708008,0.0010989904221787,2.38910961343208e-05,4.47455022367649e-05,18759.3810122828,27.812114439151962
100293,-22.8837203979492,-45.9514617919922,0.0013838440936524,3.0083567253314e-05,4.6944656787673e-05,20300.0080438243,36.578931495572355
100297,-22.8509292602539,-45.8103179931641,0.002984020698932,6.48700151941739e-05,4.68512916995678e-05,27162.4613004162,10.151176761650728
100298,-22.8428039550781,-45.7751655578613,0.0005736898256145,1.24715179481427e-05,2.27329783228924e-05,28456.2396800995,18.713969421888176
100301,-22.8185939788818,-45.6699905395508,0.0020965894655091,4.5578031858895e-05,2.91194173769327e-05,26057.33393345,94.99202465636182
100302,-22.8105792999268,-45.6350250244141,0.0006974050465942,1.51609792737872e-05,3.51625894836616e-05,25294.6506362553,104.1898210210496
100303,-22.8025894165039,-45.60009765625,0.0004792752279172,1.04190266938531e-05,2.19291123357834e-05,25069.2055228993,168.43458216321952
100305,-22.7866878509521,-45.5303649902344,2.04661973270959e-05,4.44917333197736e-07,2.96149682981195e-05,26244.2771571158,10.519407119133072
100306,-22.7787742614746,-45.4955558776855,0.0003625247809395,7.88097349868622e-06,1.8655598978512e-05,27571.9977323909,8.068964697762008
100307,-22.7708854675293,-45.4607810974121,0.0009310985151387,2.02412720682332e-05,2.57905321632279e-05,26183.2007263766,4.769437807179809
100308,-22.7630214691162,-45.4260368347168,0.0007575681847811,1.64688735821983e-05,3.05951980408281e-05,23100.5683335605,5.085095909751527
100309,-22.7551803588867,-45.3913269042969,0.0008250384889834,1.79356193257263e-05,2.19291287066881e-05,20231.1417586711,6.360933296157607
100310,-22.7473621368408,-45.3566474914551,0.0003926833087462,8.53659366839565e-06,1.84337004611734e-05,17676.1730599638,12.020868124663757
100313,-22.7240447998047,-45.2527732849121,0.0012933704347233,2.81167485809419e-05,2.32959519053111e-05,11302.1758175332,19.775695299497425
100314,-22.7163143157959,-45.2181968688965,0.0010508905361348,2.28454464377137e-05,1.61891421157634e-05,9053.40260168004,25.776756505293523
100315,-22.7086067199707,-45.1836433410645,0.0008382028427149,1.82218009285862e-05,1.73412936419481e-05,7960.56638227145,12.259858034052868
100316,-22.7009201049805,-45.1491088867188,0.0007807652436895,1.69731574715115e-05,1.55863453983329e-05,7656.55299917773,228.64242759784554
100317,-22.6932544708252,-45.1145935058594,0.0011547836693353,2.5103992811637e-05,1.52619322761893e-05,6719.71079301089,409.1264189945134
